rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
360,5,espr,drna,1,1.84,0.1971,0.7626
361,5,life,espr,1,2.04,0.1542,0.7864
362,22,belfa,sdt,1,2.39,10.8668,0.9975
363,22,tlra,sdt,1,2.43,14.1581,0.998
364,5,life,jnce,1,2.44,0.76,0.8188
365,5,mlnt,kpti,1,2.69,2.4055,0.849
366,5,kpti,life,1,3.13,0.174,0.8783
367,22,sdt,zfgn,1,6.81,0.3526,0.9932
368,22,lci,zfgn,1,6.94,3.5339,0.9877
369,20,fcnca,ayi,1,30.77,-0.3423,0.3751
370,16,usb,slb,1,190.14,0.0134,0.46
371,21,dhr,cat,1,413.15,0.399,0.5512
372,5,chma,sndx,1,,1.3125,0.8813
373,5,mlnt,life,1,,-0.1473,0.8891
374,5,mlnt,drna,1,,0.0327,0.7596
375,13,rlog,cgg,1,,-0.9508,1.0
376,13,rlog,pkd,1,,-0.5778,1.0
377,13,rlog,cur,1,,0.7482,1.0
378,13,hos,cgg,1,,0.2954,1.0
379,13,hos,pkd,1,,0.1718,1.0
380,13,hos,cur,1,,0.583,1.0
381,13,cgg,pkd,1,,0.5796,1.0
382,13,cgg,cur,1,,2.2031,1.0
383,13,idsa,pkd,1,,0.0434,1.0
384,13,idsa,cur,1,,0.5441,1.0
385,13,pkd,cur,1,,3.7265,1.0
386,13,args,cur,1,,0.8173,1.0
387,22,tlra,zfgn,1,,4.4502,0.9927
388,22,belfa,merc,1,,1.7268,0.9951
389,22,belfa,zfgn,1,,3.3541,0.9931
390,22,merc,zfgn,1,,2.051,0.9778
391,22,yin,zfgn,1,,1.9018,0.9683
392,0,bar,stz-b,0,,0.0,
393,0,bar,ceo,0,,0.0,
394,0,bar,wppgy,0,,0.0,
395,0,bar,mco,0,,0.0,
396,0,bar,wina,0,,0.0,
397,0,bar,fleu,0,,0.0,
398,0,bar,hifs,0,,0.0,
399,0,stz-b,ceo,0,,0.0,
400,0,stz-b,wppgy,0,,0.0,
401,0,stz-b,mco,0,,0.0,
402,0,stz-b,wina,0,,0.0,
403,0,stz-b,fleu,0,,0.0,
404,0,stz-b,hifs,0,,0.0,
405,0,ceo,wppgy,0,,0.0,
406,0,ceo,mco,0,,0.0,
407,0,ceo,wina,0,,0.0,
408,0,ceo,fleu,0,,0.0,
409,0,ceo,hifs,0,,0.0,
